epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/latent_balance_loss,train/latent_z_loss,train/latent_aux_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/latent_balance_loss,val/latent_z_loss,val/latent_aux_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,115.474,2.56344,4.09609,0.02611,0.1528,2.77607,0.0043,0.01983,0.28082,0.17841,0.1276,0.05771,2.18514,2.78661,0.02018,0,0,0,0,0.000332255,0.000332255,0.0671068,0.000166127,0.000664509
2,225.047,2.14762,2.56115,0.01979,0.05824,0.11168,0.00069,0.01774,0.39494,0.29586,0.25874,0.12848,1.96492,2.24031,0.01794,0,0,0,0,0.000665425,0.000665425,0.0341066,0.000332713,0.00133085
3,338.357,2.01961,2.20169,0.01809,0.00308,0.00656,4e-05,0.01583,0.42544,0.33878,0.3131,0.1621,1.92721,2.0763,0.01684,0,0,0,0,0.000997946,0.000997946,0.00110582,0.000498973,0.00199589
4,450.018,1.94765,2.03262,0.01697,0.0016,0.00438,2e-05,0.01874,0.45982,0.36001,0.3576,0.18281,1.92735,1.96421,0.01725,0,0,0,0,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,560.312,1.89928,1.9255,0.01634,0.00106,0.00146,1e-05,0.01201,0.50412,0.38363,0.38625,0.2104,1.83265,1.88079,0.01569,0,0,0,0,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,725.397,1.86637,1.86472,0.01582,0.001,0.00126,1e-05,0.01123,0.50343,0.39863,0.40717,0.22319,1.82306,1.8025,0.01574,0,0,0,0,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,844.152,1.83899,1.8195,0.01555,0.001,0.00089,1e-05,0.01087,0.50551,0.39926,0.40603,0.22652,1.79645,1.80212,0.01515,0,0,0,0,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,953.504,1.822,1.77885,0.01513,0.0009,0.00086,1e-05,0.00987,0.52444,0.39636,0.41506,0.23135,1.79093,1.79841,0.01519,0,0,0,0,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,1062.97,1.80897,1.75377,0.0148,0.0008,0.0007,1e-05,0.00873,0.51031,0.42318,0.43474,0.24674,1.7693,1.72815,0.01472,0,0,0,0,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,1177.97,1.78731,1.73376,0.01462,0.00085,0.00076,1e-05,0.00927,0.51588,0.42054,0.43288,0.24918,1.75824,1.73596,0.01451,0,0,0,0,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,1344.39,1.78206,1.71113,0.01442,0.00084,0.0007,1e-05,0.00906,0.55721,0.42847,0.44877,0.25776,1.7415,1.70011,0.01443,0,0,0,0,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,1455.37,1.76602,1.6958,0.01426,0.00069,0.00067,1e-05,0.00759,0.53105,0.427,0.44352,0.25641,1.71816,1.71411,0.01412,0,0,0,0,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,1569.51,1.75013,1.67605,0.01412,0.00078,0.00055,1e-05,0.00834,0.53795,0.43255,0.45195,0.26211,1.71786,1.68272,0.0142,0,0,0,0,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,1679.62,1.74111,1.66721,0.01397,0.00069,0.00046,1e-05,0.00732,0.55312,0.44154,0.45973,0.26766,1.7043,1.65866,0.0141,0,0,0,0,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,1789.54,1.73504,1.65247,0.01385,0.00075,0.00048,1e-05,0.00794,0.54386,0.44548,0.46098,0.2677,1.70742,1.65933,0.01422,0,0,0,0,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,1958.37,1.71613,1.63825,0.01372,0.00078,0.00046,1e-05,0.00828,0.52457,0.45177,0.46277,0.2697,1.70095,1.65299,0.01403,0,0,0,0,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,2068.9,1.71728,1.62942,0.01366,0.00059,0.00039,1e-05,0.00628,0.54793,0.44928,0.46961,0.27631,1.68736,1.65057,0.01385,0,0,0,0,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,2178.26,1.70708,1.61443,0.01356,0.00075,0.00039,1e-05,0.00794,0.55879,0.44996,0.47133,0.27554,1.69777,1.63791,0.0139,0,0,0,0,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,2292.51,1.69683,1.61138,0.01338,0.00072,0.00035,1e-05,0.00753,0.55777,0.45832,0.47255,0.27836,1.68491,1.62158,0.01382,0,0,0,0,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,2402.95,1.68808,1.59822,0.01335,0.00071,0.00038,1e-05,0.00743,0.55301,0.45486,0.47483,0.27851,1.68939,1.61836,0.01389,0,0,0,0,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,2567.49,1.68297,1.59741,0.01319,0.00071,0.00036,1e-05,0.00746,0.57228,0.45938,0.48051,0.28276,1.68282,1.60527,0.01377,0,0,0,0,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,2677.76,1.67189,1.58443,0.01303,0.00085,0.00041,1e-05,0.00889,0.55043,0.46632,0.48077,0.28349,1.67653,1.60978,0.01377,0,0,0,0,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,2791.54,1.67163,1.58113,0.01304,0.00061,0.00033,1e-05,0.00643,0.53977,0.46848,0.48016,0.28281,1.67638,1.59735,0.01371,0,0,0,0,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,2900.55,1.66404,1.5729,0.01304,0.00069,0.00037,1e-05,0.00732,0.53655,0.47051,0.48011,0.28309,1.67819,1.60123,0.01374,0,0,0,0,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,3011.11,1.65863,1.55999,0.0129,0.00075,0.00036,1e-05,0.00783,0.55799,0.46499,0.4837,0.28492,1.67829,1.59419,0.01373,0,0,0,0,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,3179.83,1.65251,1.55873,0.0128,0.0006,0.00032,1e-05,0.00635,0.56384,0.46663,0.48448,0.28527,1.67333,1.59562,0.01367,0,0,0,0,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,3289.06,1.65653,1.56333,0.01264,0.00074,0.00035,1e-05,0.00775,0.55508,0.46745,0.48449,0.28491,1.67341,1.59323,0.01373,0,0,0,0,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,3399.57,1.64928,1.55107,0.01266,0.00064,0.00036,1e-05,0.00674,0.56561,0.46527,0.48314,0.28436,1.67144,1.59019,0.0137,0,0,0,0,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,3513.63,1.62849,1.53391,0.01255,0.0006,0.00031,1e-05,0.00631,0.55857,0.46553,0.48445,0.28572,1.67367,1.5872,0.01371,0,0,0,0,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,3623.81,1.63103,1.52298,0.01247,0.00068,0.00031,1e-05,0.00707,0.5633,0.46364,0.4851,0.28554,1.67032,1.58773,0.01372,0,0,0,0,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
31,3786.21,1.63232,1.52795,0.01231,0.00069,0.00033,1e-05,0.00723,0.56466,0.46689,0.48592,0.28583,1.67253,1.58684,0.01373,0,0,0,0,0.000795954,0.000795954,0.000795954,0.000397977,0.00159191
32,3900.39,1.62563,1.52118,0.0123,0.00064,0.00033,1e-05,0.00672,0.55506,0.46533,0.48317,0.28489,1.67239,1.58634,0.01373,0,0,0,0,0.000783231,0.000783231,0.000783231,0.000391616,0.00156646
33,4010.41,1.62005,1.51215,0.01217,0.00068,0.00032,1e-05,0.00716,0.56115,0.46594,0.48344,0.28553,1.67029,1.58717,0.01371,0,0,0,0,0.000770234,0.000770234,0.000770234,0.000385117,0.00154047
34,4120.04,1.60809,1.5036,0.01214,0.00068,0.00034,1e-05,0.00712,0.56283,0.46568,0.48507,0.28495,1.67154,1.58647,0.01373,0,0,0,0,0.000756976,0.000756976,0.000756976,0.000378488,0.00151395
35,4233.9,1.6051,1.49812,0.01211,0.00063,0.00029,1e-05,0.00661,0.57446,0.46161,0.48543,0.28483,1.67177,1.58677,0.01374,0,0,0,0,0.000743468,0.000743468,0.000743468,0.000371734,0.00148694
36,4396.62,1.60806,1.50493,0.01206,0.00067,0.00035,1e-05,0.00705,0.56027,0.4677,0.48469,0.28527,1.67147,1.58634,0.01374,0,0,0,0,0.000729725,0.000729725,0.000729725,0.000364863,0.00145945
37,4506.87,1.59825,1.49077,0.01202,0.00059,0.00028,1e-05,0.00618,0.5592,0.46862,0.4844,0.28473,1.67126,1.58761,0.01375,0,0,0,0,0.000715761,0.000715761,0.000715761,0.00035788,0.00143152
38,4620.12,1.59846,1.48846,0.01179,0.00064,0.0003,1e-05,0.00672,0.55911,0.46803,0.48484,0.28446,1.67058,1.58867,0.01375,0,0,0,0,0.000701588,0.000701588,0.000701588,0.000350794,0.00140318
39,4729.98,1.5956,1.48804,0.01181,0.00061,0.00031,1e-05,0.00641,0.56212,0.46688,0.48486,0.28447,1.67043,1.58861,0.01376,0,0,0,0,0.000687222,0.000687222,0.000687222,0.000343611,0.00137444
40,4840.27,1.58512,1.48427,0.01172,0.00065,0.0003,1e-05,0.00682,0.56304,0.46831,0.48536,0.28465,1.67213,1.58841,0.01379,0,0,0,0,0.000672675,0.000672675,0.000672675,0.000336338,0.00134535
41,5004.56,1.58556,1.48043,0.01171,0.00061,0.00032,1e-05,0.00645,0.56532,0.46743,0.48491,0.28402,1.67228,1.58887,0.0138,0,0,0,0,0.000657963,0.000657963,0.000657963,0.000328982,0.00131593
42,5117.45,1.58133,1.4773,0.01174,0.00059,0.00028,1e-05,0.00623,0.568,0.46734,0.48467,0.28388,1.67257,1.58848,0.01381,0,0,0,0,0.000643101,0.000643101,0.000643101,0.00032155,0.0012862
43,5226.8,1.578,1.47939,0.01162,0.00051,0.00027,1e-05,0.00535,0.56958,0.46587,0.48431,0.28349,1.67202,1.58932,0.01381,0,0,0,0,0.000628101,0.000628101,0.000628101,0.000314051,0.0012562
44,5340.68,1.57904,1.46995,0.01152,0.00054,0.00027,1e-05,0.00571,0.57085,0.46586,0.48405,0.28322,1.6726,1.58874,0.01382,0,0,0,0,0.000612981,0.000612981,0.000612981,0.00030649,0.00122596
