epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/latent_balance_loss,train/latent_z_loss,train/latent_aux_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/latent_balance_loss,val/latent_z_loss,val/latent_aux_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,116.253,2.59234,4.25595,0.02675,0.19439,2.90456,0.00485,0.02262,0.27736,0.12407,0.09173,0.03733,2.19263,2.94579,0.02082,0,0,0,0,0.000332255,0.000332255,0.0671068,0.000166127,0.000664509
2,226.609,2.162,2.66375,0.02017,0.10811,0.2824,0.00136,0.03004,0.35929,0.26499,0.22538,0.10435,2.01889,2.32709,0.01895,0,0,0,0,0.000665425,0.000665425,0.0341066,0.000332713,0.00133085
3,342.841,2.04486,2.27704,0.01862,0.00505,0.0104,6e-05,0.01597,0.4024,0.32375,0.29274,0.1467,1.91836,2.13151,0.01723,0,0,0,0,0.000997946,0.000997946,0.00110582,0.000498973,0.00199589
4,455.538,1.97449,2.10157,0.01748,0.00171,0.00365,2e-05,0.01801,0.4608,0.3376,0.33195,0.16741,1.9397,2.05213,0.0172,0,0,0,0,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,566.661,1.9243,1.98623,0.01679,0.00134,0.00216,2e-05,0.01544,0.49034,0.37182,0.37292,0.20057,1.83531,1.8944,0.01594,0,0,0,0,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,736.221,1.89361,1.91984,0.01627,0.00113,0.00163,1e-05,0.0129,0.47557,0.37228,0.37868,0.20848,1.80458,1.89744,0.01552,0,0,0,0,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,852.577,1.86161,1.87179,0.0159,0.00087,0.00099,1e-05,0.00964,0.50134,0.39491,0.40358,0.22118,1.84383,1.82233,0.01571,0,0,0,0,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,962.487,1.84537,1.83301,0.01555,0.00096,0.00098,1e-05,0.01057,0.50404,0.37977,0.395,0.22026,1.7935,1.83648,0.0152,0,0,0,0,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,1073.23,1.83462,1.80516,0.01522,0.00073,0.00089,1e-05,0.00823,0.50784,0.40655,0.4189,0.2322,1.80344,1.77497,0.01559,0,0,0,0,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,1189.5,1.81325,1.78466,0.01503,0.00083,0.00077,1e-05,0.00911,0.53042,0.4092,0.4217,0.24016,1.75709,1.76248,0.01456,0,0,0,0,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
11,1356.98,1.8115,1.75831,0.01486,0.00092,0.00082,1e-05,0.01002,0.52835,0.42064,0.43551,0.24881,1.75409,1.7208,0.01485,0,0,0,0,0.000975773,0.000975773,0.000975773,0.000487886,0.00195155
12,1468.61,1.79431,1.74379,0.0147,0.00078,0.00068,1e-05,0.00848,0.5313,0.41485,0.42927,0.24808,1.73793,1.75199,0.01432,0,0,0,0,0.000970736,0.000970736,0.000970736,0.000485368,0.00194147
13,1583.51,1.778,1.72369,0.01457,0.00078,0.00077,1e-05,0.00858,0.54063,0.41423,0.43618,0.25224,1.72421,1.72923,0.0143,0,0,0,0,0.000965239,0.000965239,0.000965239,0.00048262,0.00193048
14,1694.83,1.76723,1.71306,0.01442,0.00071,0.00059,1e-05,0.00765,0.55247,0.42823,0.4526,0.26293,1.71006,1.68057,0.01415,0,0,0,0,0.000959289,0.000959289,0.000959289,0.000479644,0.00191858
15,1804.89,1.76078,1.70462,0.0143,0.00073,0.00056,1e-05,0.00787,0.55034,0.42528,0.44512,0.25793,1.70618,1.70038,0.01421,0,0,0,0,0.000952889,0.000952889,0.000952889,0.000476445,0.00190578
16,1973.1,1.74409,1.68886,0.0142,0.00074,0.00051,1e-05,0.00788,0.53121,0.43848,0.45692,0.26752,1.70036,1.66225,0.01397,0,0,0,0,0.000946048,0.000946048,0.000946048,0.000473024,0.0018921
17,2085.05,1.7491,1.68259,0.01418,0.00088,0.00053,1e-05,0.00929,0.53314,0.44589,0.45962,0.26915,1.69875,1.64277,0.01391,0,0,0,0,0.000938772,0.000938772,0.000938772,0.000469386,0.00187754
18,2195.64,1.73554,1.66615,0.01406,0.00066,0.00049,1e-05,0.00708,0.55021,0.44098,0.45735,0.26876,1.68777,1.66041,0.01382,0,0,0,0,0.000931067,0.000931067,0.000931067,0.000465534,0.00186213
19,2310.8,1.72666,1.66415,0.01392,0.00072,0.00041,1e-05,0.00756,0.56779,0.44584,0.46658,0.27548,1.68325,1.63603,0.01371,0,0,0,0,0.000922942,0.000922942,0.000922942,0.000461471,0.00184588
20,2421.74,1.71758,1.6528,0.01387,0.00079,0.00047,1e-05,0.00835,0.5399,0.45019,0.46883,0.27785,1.67615,1.62658,0.01361,0,0,0,0,0.000914405,0.000914405,0.000914405,0.000457202,0.00182881
21,2589.72,1.71321,1.64918,0.01373,0.00076,0.00049,1e-05,0.00811,0.56346,0.4524,0.47129,0.27919,1.67805,1.6213,0.01365,0,0,0,0,0.000905463,0.000905463,0.000905463,0.000452732,0.00181093
22,2704.63,1.70556,1.63998,0.01363,0.00074,0.00049,1e-05,0.00792,0.56379,0.4491,0.47184,0.28095,1.66572,1.62684,0.01343,0,0,0,0,0.000896127,0.000896127,0.000896127,0.000448063,0.00179225
23,2816.03,1.70629,1.63775,0.01361,0.00067,0.00045,1e-05,0.00714,0.56845,0.45073,0.47472,0.28206,1.66359,1.61049,0.01348,0,0,0,0,0.000886404,0.000886404,0.000886404,0.000443202,0.00177281
24,2927.11,1.69875,1.62767,0.01364,0.00075,0.00041,1e-05,0.00787,0.57023,0.45363,0.47626,0.28436,1.66227,1.60328,0.01344,0,0,0,0,0.000876305,0.000876305,0.000876305,0.000438152,0.00175261
25,3040.92,1.6955,1.61832,0.01351,0.00074,0.00048,1e-05,0.00792,0.57098,0.44992,0.47713,0.28549,1.65929,1.60274,0.01341,0,0,0,0,0.000865839,0.000865839,0.000865839,0.00043292,0.00173168
26,3206.02,1.6902,1.61954,0.01345,0.0007,0.00042,1e-05,0.00742,0.56763,0.45306,0.47791,0.28619,1.6588,1.59794,0.01334,0,0,0,0,0.000855018,0.000855018,0.000855018,0.000427509,0.00171004
27,3316.33,1.69527,1.62436,0.01334,0.00074,0.00043,1e-05,0.00785,0.56532,0.46067,0.48097,0.28812,1.65367,1.59309,0.01335,0,0,0,0,0.000843851,0.000843851,0.000843851,0.000421925,0.0016877
28,3430.16,1.6878,1.61192,0.01332,0.00074,0.00043,1e-05,0.00783,0.56559,0.45927,0.4815,0.28867,1.65304,1.59398,0.01333,0,0,0,0,0.000832349,0.000832349,0.000832349,0.000416175,0.0016647
29,3552.11,1.66713,1.59342,0.01324,0.00073,0.00039,1e-05,0.00765,0.56117,0.45779,0.47869,0.28768,1.65314,1.59213,0.0133,0,0,0,0,0.000820525,0.000820525,0.000820525,0.000410262,0.00164105
30,3671.17,1.67257,1.58456,0.0132,0.00076,0.0004,1e-05,0.00798,0.55636,0.4603,0.4812,0.28905,1.65172,1.58562,0.0133,0,0,0,0,0.000808389,0.000808389,0.000808389,0.000404194,0.00161678
