epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/latent_balance_loss,train/latent_z_loss,train/latent_aux_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/latent_balance_loss,val/latent_z_loss,val/latent_aux_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,115.93,2.60202,4.29845,0.027,0.15028,2.84386,0.00435,0.01927,0.23781,0.12755,0.07216,0.02438,2.30653,3.04976,0.02365,0,0,0,0,0.000332255,0.000332255,0.0671068,0.000166127,0.000664509
2,226.51,2.17368,2.72832,0.02043,0.09792,0.16949,0.00115,0.03023,0.31209,0.24731,0.1895,0.0773,2.10078,2.42526,0.02057,0,0,0,0,0.000665425,0.000665425,0.0341066,0.000332713,0.00133085
3,342.403,2.07271,2.32695,0.01916,0.00498,0.01153,6e-05,0.0172,0.38613,0.27446,0.24884,0.1086,2.0237,2.2819,0.01885,0,0,0,0,0.000997946,0.000997946,0.00110582,0.000498973,0.00199589
4,455.065,2.00531,2.14947,0.01806,0.00193,0.00508,2e-05,0.02086,0.44208,0.3099,0.30108,0.14275,1.9854,2.1307,0.01832,0,0,0,0,0.000997803,0.000997803,0.000997803,0.000498902,0.00199561
5,566.234,1.95738,2.04315,0.0174,0.00145,0.00157,2e-05,0.01594,0.43319,0.35861,0.33558,0.16474,1.91851,1.99019,0.01734,0,0,0,0,0.000996097,0.000996097,0.000996097,0.000498048,0.00199219
6,738.232,1.92303,1.97718,0.01686,0.00114,0.00128,1e-05,0.0127,0.45947,0.34891,0.34799,0.17549,1.87927,1.97755,0.01675,0,0,0,0,0.000993906,0.000993906,0.000993906,0.000496953,0.00198781
7,854.152,1.89862,1.92851,0.0166,0.00094,0.00101,1e-05,0.01042,0.46951,0.37801,0.37773,0.19944,1.8307,1.89786,0.01595,0,0,0,0,0.000991232,0.000991232,0.000991232,0.000495616,0.00198246
8,964.308,1.87798,1.89072,0.01619,0.00096,0.00084,1e-05,0.01041,0.49005,0.38106,0.38424,0.20367,1.81827,1.87317,0.01599,0,0,0,0,0.000988079,0.000988079,0.000988079,0.000494039,0.00197616
9,1074.54,1.86818,1.86573,0.01588,0.00089,0.00069,1e-05,0.00957,0.47904,0.38594,0.39162,0.2081,1.82155,1.84847,0.01596,0,0,0,0,0.000984449,0.000984449,0.000984449,0.000492224,0.0019689
10,1190.48,1.84275,1.83892,0.01562,0.00081,0.0007,1e-05,0.00881,0.51071,0.40806,0.40989,0.22238,1.79595,1.79274,0.01521,0,0,0,0,0.000980345,0.000980345,0.000980345,0.000490173,0.00196069
